Indicator,Country,Date,value
Cumulative number of suspected Ebola cases,Nigeria,12/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,12/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,12/05/2015,1
Cumulative number of probable Ebola cases,Senegal,12/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,12/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,12/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,12/05/2015,1
Cumulative number of probable Ebola cases,Spain,12/05/2015,0
Cumulative number of suspected Ebola cases,Spain,12/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,12/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,12/05/2015,4
Cumulative number of probable Ebola cases,United States of America,12/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,12/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,12/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,12/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,12/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,12/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,12/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,12/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,12/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,12/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,12/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,12/05/2015,0
Cumulative number of probable Ebola deaths,Spain,12/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,12/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,12/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,12/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,12/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,12/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,12/05/2015,1
Cumulative number of probable Ebola cases,Guinea,13/05/2015,415
Cumulative number of suspected Ebola cases,Guinea,13/05/2015,11
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,13/05/2015,3599
Number of confirmed Ebola cases in the last 21 days,Guinea,13/05/2015,38
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,13/05/2015,0
Cumulative number of suspected Ebola deaths,Sierra Leone,13/05/2015,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,13/05/2015,3904
Cumulative number of probable Ebola deaths,Guinea,13/05/2015,415
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,13/05/2015,2391
Cumulative number of confirmed Ebola cases,Liberia,13/05/2015,3151
Cumulative number of suspected Ebola cases,Sierra Leone,13/05/2015,3635
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,13/05/2015,12519
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,13/05/2015,22
Cumulative number of confirmed Ebola cases,Guinea,13/05/2015,3173
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,13/05/2015,38
Cumulative number of suspected Ebola cases,Liberia,13/05/2015,5574
Number of confirmed Ebola cases in the last 21 days,Liberia,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,13/05/2015,4769
Cumulative number of probable Ebola cases,Sierra Leone,13/05/2015,287
Cumulative number of confirmed Ebola deaths,Sierra Leone,13/05/2015,3538
Cumulative number of confirmed Ebola deaths,Guinea,13/05/2015,1976
Cumulative number of probable Ebola cases,Liberia,13/05/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,13/05/2015,10604
Cumulative number of confirmed Ebola cases,Sierra Leone,13/05/2015,8597
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,13/05/2015,22
Cumulative number of probable Ebola deaths,Sierra Leone,13/05/2015,208
Cumulative number of confirmed Ebola cases,United Kingdom,13/05/2015,1
Cumulative number of probable Ebola cases,United Kingdom,13/05/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,13/05/2015,1
Cumulative number of confirmed Ebola cases,Mali,13/05/2015,7
Cumulative number of probable Ebola cases,Mali,13/05/2015,1
Cumulative number of suspected Ebola cases,Mali,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,13/05/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,13/05/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,13/05/2015,19
Cumulative number of probable Ebola cases,Nigeria,13/05/2015,1
Cumulative number of suspected Ebola cases,Nigeria,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,13/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,13/05/2015,1
Cumulative number of probable Ebola cases,Senegal,13/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,13/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,13/05/2015,1
Cumulative number of probable Ebola cases,Spain,13/05/2015,0
Cumulative number of suspected Ebola cases,Spain,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,13/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,13/05/2015,4
Cumulative number of probable Ebola cases,United States of America,13/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,13/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,13/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,13/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,13/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,13/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,13/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,13/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,13/05/2015,0
Cumulative number of probable Ebola deaths,Spain,13/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,13/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,13/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,13/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,13/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,13/05/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,15/05/2015,3619
Cumulative number of confirmed Ebola cases,Guinea,15/05/2015,3189
Cumulative number of probable Ebola cases,Guinea,15/05/2015,419
Cumulative number of suspected Ebola cases,Guinea,15/05/2015,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,15/05/2015,2401
Cumulative number of confirmed Ebola deaths,Guinea,15/05/2015,1982
Cumulative number of probable Ebola deaths,Guinea,15/05/2015,419
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,15/05/2015,10604
Cumulative number of confirmed Ebola cases,Liberia,15/05/2015,3151
Cumulative number of probable Ebola cases,Liberia,15/05/2015,1879
Cumulative number of suspected Ebola cases,Liberia,15/05/2015,5574
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,15/05/2015,4769
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,15/05/2015,12540
Cumulative number of confirmed Ebola cases,Sierra Leone,15/05/2015,8598
Cumulative number of probable Ebola cases,Sierra Leone,15/05/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,15/05/2015,3655
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,15/05/2015,3904
Cumulative number of confirmed Ebola deaths,Sierra Leone,15/05/2015,3538
Cumulative number of probable Ebola deaths,Sierra Leone,15/05/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,15/05/2015,158
Cumulative number of confirmed Ebola cases,Italy,15/05/2015,1
Cumulative number of probable Ebola cases,Italy,15/05/2015,0
Cumulative number of suspected Ebola cases,Italy,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,15/05/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,15/05/2015,1
Cumulative number of probable Ebola cases,United Kingdom,15/05/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,15/05/2015,1
Cumulative number of confirmed Ebola cases,Mali,15/05/2015,7
Cumulative number of probable Ebola cases,Mali,15/05/2015,1
Cumulative number of suspected Ebola cases,Mali,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,15/05/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,15/05/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,15/05/2015,19
Cumulative number of probable Ebola cases,Nigeria,15/05/2015,1
Cumulative number of suspected Ebola cases,Nigeria,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,15/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,15/05/2015,1
Cumulative number of probable Ebola cases,Senegal,15/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,15/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,15/05/2015,1
Cumulative number of probable Ebola cases,Spain,15/05/2015,0
Cumulative number of suspected Ebola cases,Spain,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,15/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,15/05/2015,4
Cumulative number of probable Ebola cases,United States of America,15/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,15/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,15/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,15/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,15/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,15/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,15/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,15/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,15/05/2015,0
Cumulative number of probable Ebola deaths,Spain,15/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,15/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,15/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,15/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,15/05/2015,1
Cumulative number of confirmed Ebola cases,Italy,14/05/2015,1
Cumulative number of probable Ebola cases,Italy,14/05/2015,0
Cumulative number of suspected Ebola cases,Italy,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,14/05/2015,3615
Cumulative number of confirmed Ebola cases,Guinea,14/05/2015,3187
Cumulative number of probable Ebola cases,Guinea,14/05/2015,419
Cumulative number of suspected Ebola cases,Guinea,14/05/2015,9
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,14/05/2015,2399
Cumulative number of confirmed Ebola deaths,Guinea,14/05/2015,1980
Cumulative number of probable Ebola deaths,Guinea,14/05/2015,419
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,14/05/2015,10604
Cumulative number of confirmed Ebola cases,Liberia,14/05/2015,3151
Cumulative number of probable Ebola cases,Liberia,14/05/2015,1879
Cumulative number of suspected Ebola cases,Liberia,14/05/2015,5574
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,14/05/2015,4769
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,14/05/2015,12536
Cumulative number of confirmed Ebola cases,Sierra Leone,14/05/2015,8597
Cumulative number of probable Ebola cases,Sierra Leone,14/05/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,14/05/2015,3652
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,14/05/2015,3904
Cumulative number of confirmed Ebola deaths,Sierra Leone,14/05/2015,3538
Cumulative number of probable Ebola deaths,Sierra Leone,14/05/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,14/05/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,14/05/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,14/05/2015,1
Cumulative number of probable Ebola cases,United Kingdom,14/05/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,14/05/2015,1
Cumulative number of confirmed Ebola cases,Mali,14/05/2015,7
Cumulative number of probable Ebola cases,Mali,14/05/2015,1
Cumulative number of suspected Ebola cases,Mali,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,14/05/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,14/05/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,14/05/2015,19
Cumulative number of probable Ebola cases,Nigeria,14/05/2015,1
Cumulative number of suspected Ebola cases,Nigeria,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,14/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,14/05/2015,1
Cumulative number of probable Ebola cases,Senegal,14/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,14/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,14/05/2015,1
Cumulative number of probable Ebola cases,Spain,14/05/2015,0
Cumulative number of suspected Ebola cases,Spain,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,14/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,14/05/2015,4
Cumulative number of probable Ebola cases,United States of America,14/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,14/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,14/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,14/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,14/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,14/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,14/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,14/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,14/05/2015,0
Cumulative number of probable Ebola deaths,Spain,14/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,14/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,14/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,14/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,14/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,14/05/2015,1
Cumulative number of suspected Ebola deaths,Italy,15/05/2015,0
Cumulative number of probable Ebola deaths,Italy,15/05/2015,0
Cumulative number of confirmed Ebola deaths,Italy,15/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,19/05/2015,3635
Cumulative number of confirmed Ebola cases,Guinea,19/05/2015,3201
Cumulative number of probable Ebola cases,Guinea,19/05/2015,419
Cumulative number of suspected Ebola cases,Guinea,19/05/2015,15
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,19/05/2015,2407
Cumulative number of confirmed Ebola deaths,Guinea,19/05/2015,1988
Cumulative number of probable Ebola deaths,Guinea,19/05/2015,419
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,19/05/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,19/05/2015,3151
Cumulative number of probable Ebola cases,Liberia,19/05/2015,1879
Cumulative number of suspected Ebola cases,Liberia,19/05/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,19/05/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,19/05/2015,12632
Cumulative number of confirmed Ebola cases,Sierra Leone,19/05/2015,8605
Cumulative number of probable Ebola cases,Sierra Leone,19/05/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,19/05/2015,3740
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,19/05/2015,3907
Cumulative number of confirmed Ebola deaths,Sierra Leone,19/05/2015,3541
Cumulative number of probable Ebola deaths,Sierra Leone,19/05/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,19/05/2015,158
Cumulative number of confirmed Ebola cases,Italy,19/05/2015,1
Cumulative number of probable Ebola cases,Italy,19/05/2015,0
Cumulative number of suspected Ebola cases,Italy,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,19/05/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,19/05/2015,1
Cumulative number of probable Ebola cases,United Kingdom,19/05/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,19/05/2015,1
Cumulative number of confirmed Ebola cases,Mali,19/05/2015,7
Cumulative number of probable Ebola cases,Mali,19/05/2015,1
Cumulative number of suspected Ebola cases,Mali,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,19/05/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,19/05/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,19/05/2015,19
Cumulative number of probable Ebola cases,Nigeria,19/05/2015,1
Cumulative number of suspected Ebola cases,Nigeria,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,19/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,19/05/2015,1
Cumulative number of probable Ebola cases,Senegal,19/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,19/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,19/05/2015,1
Cumulative number of probable Ebola cases,Spain,19/05/2015,0
Cumulative number of suspected Ebola cases,Spain,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,19/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,19/05/2015,4
Cumulative number of probable Ebola cases,United States of America,19/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,19/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,19/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,19/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,19/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,19/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,19/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,19/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,19/05/2015,0
Cumulative number of probable Ebola deaths,Spain,19/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,19/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,19/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,19/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,19/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,19/05/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,18/05/2015,3626
Cumulative number of confirmed Ebola cases,Guinea,18/05/2015,3195
Cumulative number of probable Ebola cases,Guinea,18/05/2015,419
Cumulative number of suspected Ebola cases,Guinea,18/05/2015,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,18/05/2015,2405
Cumulative number of confirmed Ebola deaths,Guinea,18/05/2015,1986
Cumulative number of probable Ebola deaths,Guinea,18/05/2015,419
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,18/05/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,18/05/2015,3151
Cumulative number of probable Ebola cases,Liberia,18/05/2015,1879
Cumulative number of suspected Ebola cases,Liberia,18/05/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,18/05/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,18/05/2015,12593
Cumulative number of confirmed Ebola cases,Sierra Leone,18/05/2015,8603
Cumulative number of probable Ebola cases,Sierra Leone,18/05/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,18/05/2015,3703
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,18/05/2015,3906
Cumulative number of confirmed Ebola deaths,Sierra Leone,18/05/2015,3540
Cumulative number of probable Ebola deaths,Sierra Leone,18/05/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,18/05/2015,158
Cumulative number of confirmed Ebola cases,Italy,18/05/2015,1
Cumulative number of probable Ebola cases,Italy,18/05/2015,0
Cumulative number of suspected Ebola cases,Italy,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,18/05/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,18/05/2015,1
Cumulative number of probable Ebola cases,United Kingdom,18/05/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,18/05/2015,1
Cumulative number of confirmed Ebola cases,Mali,18/05/2015,7
Cumulative number of probable Ebola cases,Mali,18/05/2015,1
Cumulative number of suspected Ebola cases,Mali,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,18/05/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,18/05/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,18/05/2015,19
Cumulative number of probable Ebola cases,Nigeria,18/05/2015,1
Cumulative number of suspected Ebola cases,Nigeria,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,18/05/2015,20
Cumulative number of confirmed Ebola cases,Senegal,18/05/2015,1
Cumulative number of probable Ebola cases,Senegal,18/05/2015,0
Cumulative number of suspected Ebola cases,Senegal,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,18/05/2015,1
Cumulative number of confirmed Ebola cases,Spain,18/05/2015,1
Cumulative number of probable Ebola cases,Spain,18/05/2015,0
Cumulative number of suspected Ebola cases,Spain,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,18/05/2015,1
Cumulative number of confirmed Ebola cases,United States of America,18/05/2015,4
Cumulative number of probable Ebola cases,United States of America,18/05/2015,0
Cumulative number of suspected Ebola cases,United States of America,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,18/05/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,18/05/2015,7
Cumulative number of probable Ebola deaths,Nigeria,18/05/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,18/05/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,18/05/2015,0
Cumulative number of probable Ebola deaths,Senegal,18/05/2015,0
Cumulative number of suspected Ebola deaths,Senegal,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,18/05/2015,0
Cumulative number of confirmed Ebola deaths,Spain,18/05/2015,0
Cumulative number of probable Ebola deaths,Spain,18/05/2015,0
Cumulative number of suspected Ebola deaths,Spain,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,18/05/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,18/05/2015,1
Cumulative number of probable Ebola deaths,United States of America,18/05/2015,0
Cumulative number of suspected Ebola deaths,United States of America,18/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,18/05/2015,1
Cumulative number of confirmed Ebola cases,Italy,20/05/2015,1
Cumulative number of probable Ebola cases,Italy,20/05/2015,0
Cumulative number of suspected Ebola cases,Italy,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,20/05/2015,0
Cumulative number of confirmed Ebola cases,Guinea,20/05/2015,3201
Cumulative number of probable Ebola cases,Guinea,20/05/2015,415
Cumulative number of suspected Ebola cases,Guinea,20/05/2015,15
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,20/05/2015,3635
Number of confirmed Ebola cases in the last 21 days,Guinea,20/05/2015,43
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,20/05/2015,43
Cumulative number of confirmed Ebola deaths,Guinea,20/05/2015,1988
Cumulative number of probable Ebola deaths,Guinea,20/05/2015,419
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,20/05/2015,2407
Cumulative number of confirmed Ebola cases,Liberia,20/05/2015,3151
Cumulative number of probable Ebola cases,Liberia,20/05/2015,1879
Cumulative number of suspected Ebola cases,Liberia,20/05/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,20/05/2015,10666
Number of confirmed Ebola cases in the last 21 days,Liberia,20/05/2015,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,20/05/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,20/05/2015,4806
Cumulative number of confirmed Ebola cases,Sierra Leone,20/05/2015,8605
Cumulative number of probable Ebola cases,Sierra Leone,20/05/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,20/05/2015,3740
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,20/05/2015,12632
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,20/05/2015,19
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,20/05/2015,19
Cumulative number of confirmed Ebola deaths,Sierra Leone,20/05/2015,3541
Cumulative number of probable Ebola deaths,Sierra Leone,20/05/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,20/05/2015,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,20/05/2015,3907
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,20/05/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,20/05/2015,1
Cumulative number of probable Ebola cases,United Kingdom,20/05/2015,0
