Indicator,Country,Date,value
Cumulative number of probable Ebola cases,Liberia,05/03/2015,1877
Cumulative number of suspected Ebola cases,Liberia,05/03/2015,4222
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,05/03/2015,4117
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,05/03/2015,11497
Cumulative number of confirmed Ebola cases,Sierra Leone,05/03/2015,8383
Cumulative number of probable Ebola cases,Sierra Leone,05/03/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,05/03/2015,2827
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,05/03/2015,3565
Cumulative number of confirmed Ebola deaths,Sierra Leone,05/03/2015,3199
Cumulative number of probable Ebola deaths,Sierra Leone,05/03/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,05/03/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,05/03/2015,1
Cumulative number of confirmed Ebola cases,Mali,05/03/2015,7
Cumulative number of probable Ebola cases,Mali,05/03/2015,1
Cumulative number of suspected Ebola cases,Mali,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,05/03/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,05/03/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,05/03/2015,19
Cumulative number of probable Ebola cases,Nigeria,05/03/2015,1
Cumulative number of suspected Ebola cases,Nigeria,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,05/03/2015,20
Cumulative number of confirmed Ebola cases,Senegal,05/03/2015,1
Cumulative number of probable Ebola cases,Senegal,05/03/2015,0
Cumulative number of suspected Ebola cases,Senegal,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,05/03/2015,1
Cumulative number of confirmed Ebola cases,Spain,05/03/2015,1
Cumulative number of probable Ebola cases,Spain,05/03/2015,0
Cumulative number of suspected Ebola cases,Spain,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,05/03/2015,1
Cumulative number of confirmed Ebola cases,United States of America,05/03/2015,4
Cumulative number of probable Ebola cases,United States of America,05/03/2015,0
Cumulative number of suspected Ebola cases,United States of America,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,05/03/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,05/03/2015,7
Cumulative number of probable Ebola deaths,Nigeria,05/03/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,05/03/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,05/03/2015,0
Cumulative number of probable Ebola deaths,Senegal,05/03/2015,0
Cumulative number of suspected Ebola deaths,Senegal,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,05/03/2015,0
Cumulative number of confirmed Ebola deaths,Spain,05/03/2015,0
Cumulative number of probable Ebola deaths,Spain,05/03/2015,0
Cumulative number of suspected Ebola deaths,Spain,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,05/03/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,05/03/2015,1
Cumulative number of probable Ebola deaths,United States of America,05/03/2015,0
Cumulative number of suspected Ebola deaths,United States of America,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,05/03/2015,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,04/03/2015,0
Cumulative number of probable Ebola cases,United Kingdom,04/03/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,04/03/2015,0
Cumulative number of confirmed Ebola cases,United Kingdom,04/03/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,04/03/2015,1
Cumulative number of confirmed Ebola cases,Mali,04/03/2015,7
Cumulative number of probable Ebola cases,Mali,04/03/2015,1
Cumulative number of suspected Ebola cases,Mali,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,04/03/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,04/03/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,04/03/2015,19
Cumulative number of probable Ebola cases,Nigeria,04/03/2015,1
Cumulative number of suspected Ebola cases,Nigeria,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,04/03/2015,20
Cumulative number of confirmed Ebola cases,Senegal,04/03/2015,1
Cumulative number of probable Ebola cases,Senegal,04/03/2015,0
Cumulative number of suspected Ebola cases,Senegal,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,04/03/2015,1
Cumulative number of confirmed Ebola cases,Spain,04/03/2015,1
Cumulative number of probable Ebola cases,Spain,04/03/2015,0
Cumulative number of suspected Ebola cases,Spain,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,04/03/2015,1
Cumulative number of confirmed Ebola cases,United States of America,04/03/2015,4
Cumulative number of probable Ebola cases,United States of America,04/03/2015,0
Cumulative number of suspected Ebola cases,United States of America,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,04/03/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,04/03/2015,7
Cumulative number of probable Ebola deaths,Nigeria,04/03/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,04/03/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,04/03/2015,0
Cumulative number of probable Ebola deaths,Senegal,04/03/2015,0
Cumulative number of suspected Ebola deaths,Senegal,04/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,04/03/2015,0
Cumulative number of confirmed Ebola deaths,Spain,04/03/2015,0
